iter	Logloss
0	0.6707855292
1	0.6518935252
2	0.6372139076
3	0.623300877
4	0.6121746585
5	0.6021938368
6	0.5934819067
7	0.5859126646
8	0.578911378
9	0.5733629587
10	0.5681700968
11	0.5639697248
12	0.5601863334
13	0.5574734005
14	0.5547756945
15	0.5520547432
16	0.549625582
17	0.5476634242
18	0.545949052
19	0.5441838609
20	0.5426368478
21	0.5410382384
22	0.5395587721
23	0.538536562
24	0.5372001968
25	0.5362226671
26	0.535073574
27	0.5338914585
28	0.5331425847
29	0.5322456111
30	0.5315732182
31	0.5310068603
32	0.5301889756
33	0.5295337217
34	0.5291056857
35	0.5284969057
36	0.527848398
37	0.5272385132
38	0.5267359793
39	0.5263253073
40	0.5258589157
41	0.5252137475
42	0.5249597359
43	0.5245248566
44	0.524285766
45	0.5238821723
46	0.5237820155
47	0.5232422761
48	0.5225348785
49	0.5221189233
50	0.5216048945
51	0.52115269
52	0.5205744365
53	0.5203996045
54	0.5202328345
55	0.520056052
56	0.5196706539
57	0.5192461792
58	0.5188247238
59	0.5183418226
60	0.5178313374
61	0.5174957912
62	0.5171256232
63	0.5168834362
64	0.5166719256
65	0.5161399957
66	0.5158396369
67	0.5156953973
68	0.5153132501
69	0.515146097
70	0.5148154676
71	0.5147936715
72	0.5146525592
73	0.5144310634
74	0.5140654815
75	0.5138173183
76	0.5135381287
77	0.5134353742
78	0.5130854507
79	0.5128946227
80	0.5124480846
81	0.5121547432
82	0.5118247617
83	0.5113426373
84	0.5108355206
85	0.5103734027
86	0.5099637771
87	0.5097295565
88	0.5094787864
89	0.509058607
90	0.5088528034
91	0.5085123441
92	0.5081807093
93	0.5079884467
94	0.5075910273
95	0.5073506556
96	0.5072379949
97	0.5070589479
98	0.5068481643
99	0.5067388687
