iter	Passed	Remaining
0	0	93
1	1	89
2	2	88
3	3	86
4	4	85
5	5	84
6	6	82
7	7	81
8	7	80
9	8	78
10	9	77
11	10	76
12	11	75
13	12	74
14	12	73
15	13	72
16	14	71
17	15	70
18	16	69
19	17	71
20	18	69
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	25	63
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	31	57
35	31	56
36	32	55
37	33	55
38	34	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	39
54	47	38
55	48	38
56	49	37
57	50	36
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	61	23
72	62	23
73	63	22
74	64	21
75	66	20
76	67	20
77	68	19
78	69	18
79	71	17
80	73	17
81	74	16
82	75	15
83	75	14
84	76	13
85	77	12
86	78	11
87	78	10
88	79	9
89	80	8
90	80	8
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	85	1
98	86	0
99	87	0
